자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
한국타이어광한루대리점,3,전북특별자치도 남원시 도화동길 66,,35.400139,127.373576,2011-06-15,227,1,,,,09:00,18:00,063-633-0928,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
임용철타이어,3,전북특별자치도 남원시 충정로 216,,35.4226597,127.393312,2011-08-17,491,1,,,,09:00,18:00,063-626-9500,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
삼성카센터,3,전북특별자치도 남원시 요천로 1541-3,,35.408072,127.387971,2001-03-27,483,1,,,,09:00,18:00,063-625-8148,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
부영카센타,3,전북특별자치도 남원시 춘향로 72,,35.421174,127.394627,2012-09-18,131,1,,,,09:00,18:00,063-632-6658,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
오토오아시스롯데마트남원,3,"전북특별자치도 남원시 춘향로 96, 2층",,35.423314,127.3924897,2013-03-15,128,1,,,,09:00,18:00,063-636-7384,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
금동점 기아오토큐,3,전북특별자치도 남원시 금동로 70,,35.404949,127.372188,2014-03-12,620,1,,,,09:00,18:00,063-636-0204,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
타이어프로 남원IC,3,전북특별자치도 남원시 충정로 270,,35.424612,127.398621,1988-08-21,744,1,,,,09:00,18:00,063-625-3131,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
대교카삽,3,전북특별자치도 남원시 충정로 153,,35.418202,127.389617,2014-08-19,384,3,2022-06-28,,,09:00,18:00,063-633-0226,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
타이어월드,3,전북특별자치도 남원시 충정로 133,,35.416829,127.388344,2014-10-07,254,1,,,,09:00,18:00,063-635-4808,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
스마트 오토,3,전북특별자치도 남원시 충정로 153,,35.41820242,127.3896165,2014-10-14,566,1,,,,09:00,18:00,063-626-0028,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
진 오토미션,3,전북특별자치도 남원시 가방뜰길 70,,35.401028,127.369315,2014-10-29,825,1,,,,09:00,18:00,063-635-0852,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
한일카센터,3,전북특별자치도 남원시 금지면 요천로 185-4,,35.326353,127.2986603,2016-01-05,415,1,,,,09:00,18:00,063-633-3339,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
재경자동차정비밧데리,3,전북특별자치도 남원시 용성로 344,,35.422438,127.406608,2016-02-26,679,1,,,,09:00,18:00,063-635-2544,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
문화카독크,3,전북특별자치도 남원시 이백면 문화안길5-3,,35.426676,127.435016,2016-12-01,431,1,,,,09:00,18:00,063-635-6037,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
애니카랜드 도통동점,3,전북특별자치도 남원시 운봉읍 황산로 1064,,35.437588,127.5289200319,2017-01-17,369,1,,,,09:00,18:00,063-636-1110,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
서남모터스,3,전북특별자치도 남원시 가방뜰길 66,,35.401079,127.369861,2017-01-25,825,1,,,,09:00,18:00,063-635-6667,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
지리산모터스,3,전북특별자치도 남원시 인월면 인월장터로 119,,35.469751,127.597182,2017-03-16,989,1,,,,09:00,18:00,063-635-6535,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
태양카센터,3,전북특별자치도 남원시 광천북길 231-5,,35.411427,127.370914,2017-09-21,514,1,,,,09:00,18:00,063-635-4220,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
수경자동차공업사,3,전북특별자치도 남원시 서문1길4,,35.410341,127.376339,2018-02-22,577,1,,,,09:00,18:00,063-636-6761,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
한국타이어남원도통점,3,전북특별자치도 남원시 충정로 190,,35.421033,127.391556,2018-03-02,100,1,,,,09:00,18:00,063-633-1020,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
천일카서비스,3,전북특별자치도 남원시 동림로 64,,35.414092,127.387454,2018-04-02,803,1,,,,09:00,18:00,063-634-7766,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
킹모터스,3,전북특별자치도 남원시 광천남길 670,,35.417604,127.3803604,2018-05-16,1430,1,,,,09:00,18:00,063-632-8585,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
산동종합카센터,3,전북특별자치도 남원시 요천로 2907-4,,35.492461,127.474951,2018-10-01,1430,1,,,,09:00,18:00,,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
빵빵카,3,전북특별자치도 남원시 광천남길 360,,35.407223,127.370793,2022-03-15,153,1,,,,09:00,18:00,063-930-2319,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
남경카센터,3,전북특별자치도 남원시 춘향로 52,,35.419963,127.3959397,2002-01-05,145,1,,,,09:00,18:00,063-633-8234,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
만인카공업사,3,전북특별자치도 남원시 원천로 63,,35.409322,127.399234,2002-05-30,322,1,,,,09:00,18:00,063-633-5335,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
스피드메이트,3,전북특별자치도 남원시 용성로 289,,35.422086,127.400623,2002-08-12,5359,1,,,,09:00,18:00,063-626-9969,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
은성카자동차공업사,3,전북특별자치도 남원시 농고길 74,,35.419814,127.395169,2002-08-12,523,1,,,,09:00,18:00,063-633-5335,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
자동차나라,3,전북특별자치도 남원시 동림로 50,,35.413162,127.388114,2002-10-31,352,1,,,,09:00,18:00,063-625-4201,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
좋은차만들기,3,전북특별자치도 남원시 오들로 30,,35.421253,127.402642,2003-06-02,588,1,,,,09:00,18:00,063-636-1342,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
남원종합카센타,3,전북특별자치도 남원시 충정로 139,,35.417356,127.388872,2003-07-09,405,1,,,,09:00,18:00,063-625-1849,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
블루핸즈 아영점,3,전북특별자치도 남원시 아영면 인월장터로 225,,35.47830007,127.591992,2003-07-24,584,1,,,,09:00,18:00,063-636-2525,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
운봉카센터,3,전북특별자치도 남원시 운봉읍 황산로 1051,,35.437181,127.527713,2003-09-08,776,1,,,,09:00,18:00,063-634-1948,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
지리산밧데리,3,전북특별자치도 남원시 충정로 254,,35.424076,127.396922,2010-09-25,791,1,,,,09:00,18:00,063-632-0655,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
황소밧데리,3,전북특별자치도 남원시 의총로 165,,35.415473,127.376699,1999-07-02,218,1,,,,09:00,18:00,063-632-8720,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
영광자동차병원,3,전북특별자치도 남원시 충정로 169,,35.419688,127.3904002,2004-05-01,279,1,,,,09:00,18:00,063-626-8869,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
우리종합카센타,3,전북특별자치도 남원시 용성로 198,,35.415367,127.394833,2004-06-08,257,1,,,,09:00,18:00,063-625-5558,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
산동카센타,3,전북특별자치도 남원시 요천로 1753,,35.420358,127.405224,2005-07-25,453,1,,,,09:00,18:00,063-626-8050,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
현대자동차하정점,3,전북특별자치도 남원시 의총로 90-27,,35.408743,127.377764,1999-07-02,359,1,,,,09:00,18:00,063-633-6111,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
모터스향교점,3,전북특별자치도 남원시 충정로 149,,35.417977,127.389586,1999-06-09,572,1,,,,09:00,18:00,063-635-8572,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
첨단카센터,3,전북특별자치도 남원시 금동로 13,,35.399974,127.373009,2007-01-22,489,1,,,,09:00,18:00,063-626-8860,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
대성밧데리,3,전북특별자치도 남원시 황죽로 41,,35.42850031,127.407736,2008-01-31,588,1,,,,09:00,18:00,063-625-2127,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
뤠보로남원바로서비스,3,전북특별자치도 남원시 충정로 157,,35.418458,127.389926,2008-08-25,145,1,,,,09:00,18:00,063-632-8255,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
제일카센터,3,전북특별자치도 남원시 운봉읍 서천2길 3,,35.43978993,127.530851,2008-09-02,805,1,,,,09:00,18:00,063-352-2228,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
건모터스,3,전북특별자치도 남원시 요천로 1599,,35.411036,127.392856,2003-01-10,566,1,,,,09:00,18:00,063-633-7919,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
애니카랜드남원점,3,전북특별자치도 남원시 전령길 6,,35.413443,127.392424,2010-03-02,584,1,,,,09:00,18:00,063-626-1999,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
크린카센타,3,전북특별자치도 남원시 시청남로 37,,35.417502,127.393132,2004-04-21,1591,1,,,,09:00,18:00,063-633-1250,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
싱싱타이어,3,전북특별자치도 남원시 요천로 1320,,35.396984,127.367866,2010-06-18,244,1,,,,09:00,18:00,063-632-6549,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
부림카센터,3,전북특별자치도 남원시 인월면 인월장터로 81,,35.466553,127.598991,2002-07-06,1178,1,,,,09:00,18:00,063-636-3400,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
르노삼성자동차지정정비코너남원점,3,전북특별자치도 남원시 오들로 10,,35.419807,127.4040096,2002-07-04,422,1,,,,09:00,18:00,063-625-4887,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
보쉬카서비스 도통점,3,전북특별자치도 남원시 용성로 242,,35.418906,127.397806,2010-12-07,289,1,,,,09:00,18:00,063-625-7100,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
자동차 119,3,전북특별자치도 남원시 광천남길 380,,35.407955,127.371331,2011-06-13,248,1,,,,09:00,18:00,063-636-7401,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
춘향자동차공업사,1,전북특별자치도 남원시 박달길7,,35.434069,127.378965,2010-08-30,4851,1,,,,09:00,18:00,063-626-5114,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
명신자동차공업사,1,"전북특별자치도 남원시 충정로 260-1, 490-5",,35.423989,127.397817,2004-08-12,1355,1,,,,09:00,18:00,063-626-0701,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
대한종합자동차정비업사,1,전북특별자치도 남원시 쑥고개로 62,,35.396705,127.3814204,2007-11-28,2848,1,,,,09:00,18:00,063-625-8277,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
동아공업사,1,전북특별자치도 남원시 아영면 인월장터로 235,,35.479356,127.591607,1999-07-24,7455,1,,,,09:00,18:00,063-636-5005,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
선진자동차공업사,1,전북특별자치도 남원시 탑골길 43,,35.408133,127.404192,2012-11-01,1355,1,,,,09:00,18:00,063-632-1372,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
대우남원정비사업소,1,전북특별자치도 남원시 춘향로 351,,35.439515,127.375867,2020-03-10,3164,1,,,,09:00,18:00,063-625-9666,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
한국타이어금성카점,3,전북특별자치도 남원시 시청로 13-1,,35.41209976,127.392496,1997-06-20,385,1,,,,09:00,18:00,063-633-5293,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
서울종합카센타,3,전북특별자치도 남원시 요천로 1483,,35.404169,127.383432,1997-08-09,309,1,,,,09:00,18:00,063-625-8148,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
동부카정비센타,3,전북특별자치도 남원시 동문로 67-1,,35.41166044,127.385902,1997-10-24,655,1,,,,09:00,18:00,063-632-2227,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
천수카서비스,3,전북특별자치도 남원시 시청로 21,,35.412854,127.391805,1997-11-26,218,1,,,,09:00,18:00,063-626-8465,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
티스테이션왕정점,3,전북특별자치도 남원시 남문로 361,,35.40700049,127.371049,1998-06-20,783,1,,,,09:00,18:00,063-636-4808,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
삼양카서비스,3,전북특별자치도 남원시 황죽로 33,,35.427652,127.408187,1998-06-02,752,1,,,,09:00,18:00,063-626-0506,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
종합카독크,3,전북특별자치도 남원시 의총로 113,,35.410891,127.376356,1998-02-12,219,1,,,,09:00,18:00,063-633-0541,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
고속제일밧데리,3,전북특별자치도 남원시 동림로 82,,35.415665,127.3863899,1998-10-12,216,1,,,,09:00,18:00,063-633-2149,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
현대자동차도통동점,3,전북특별자치도 남원시 충정로 183,,35.42067969,127.390729,1999-06-25,300,1,,,,09:00,18:00,063-626-1929,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
인월카밧데리,3,전북특별자치도 남원시 인월면 인월1길 43,,35.462863,127.599911,1999-07-09,210,1,,,,09:00,18:00,063-636-2919,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
현대자동차죽항점,3,전북특별자치도 남원시 동헌길 207,,35.407681,127.387658,1999-07-14,350,1,,,,09:00,18:00,063-631-8082,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
지리산카마스타,3,전북특별자치도 남원시 인월면 인월북1길2,,35.462848,127.602321,1999-08-20,198,1,,,,09:00,18:00,063-632-0655,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
한독카센타,3,전북특별자치도 남원시 용성로 213-9,,35.417034,127.395507,2000-01-10,260,1,,,,09:00,18:00,063-626-5257,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
붕붕카센타,3,전북특별자치도 남원시 요천로 1821,,35.425173,127.4096497,2000-05-22,132,1,,,,09:00,18:00,063-633-0228,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
우성카부분정비업,3,전북특별자치도 남원시 남문로 367,,35.406982,127.371483,2000-06-20,182,1,,,,09:00,18:00,063-633-3773,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
자동차세상,3,전북특별자치도 남원시 역재2길 19,,35.42005996,127.398613,2000-12-11,133,1,,,,09:00,18:00,063-633-7785,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
현대오토,3,전북특별자치도 남원시 충정로 320,,35.427092,127.403326,2001-04-11,1196,1,,,,09:00,18:00,063-635-8572,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
자동차마을,3,전북특별자치도 남원시 노송로 1242,,35.394574,127.377337,2001-08-14,794,1,,,,09:00,18:00,063-633-4566,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
일동자차정비,3,전북특별자치도 남원시 오들1길 11,,35.417868,127.398299,2001-08-14,164,1,,,,09:00,18:00,063-626-4849,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
쌍용자동차남원서비스프라자,3,전북특별자치도 남원시 동도1길 24,,35.420112,127.395726,2001-09-20,426,1,,,,09:00,18:00,063-632-5582,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
상운카센터,3,경상북도 봉화군 상운면 예봉로 1292,경상북도 봉화군 상운면 가곡리 395-24,36.83434246,128.7563061,1998-12-28,60.84,1,,,,09:00,18:00,054-672-5336,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
기아자동차봉화점기아오토큐,3,경상북도 봉화군 봉화읍 봉화로 1134,경상북도 봉화군 봉화읍 내성리 416-3,36.890882,128.733942,1999-10-07,27,1,,,,09:00,18:00,054-674-1500,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
현대부분정비,3,경상북도 봉화군 춘양면 의양로 95,경상북도 봉화군 춘양면 소로리 879-24,36.93324577,128.913532,2000-02-07,48,1,,,,09:00,18:00,054-672-3721,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
물야농협자동차정비소,3,경상북도 봉화군 물야면 오록길 11-16,경상북도 봉화군 물야면 오록리 443-4,36.97817736,128.736273,2000-02-25,63,3,2005-10-31,,,,,,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
현대자동차봉화점,3,경상북도 봉화군 봉화읍 봉화로 1004,경상북도 봉화군 봉화읍 해저리 615-31,36.89259707,128.719572,2000-10-27,172.26,3,2021-08-08,,,09:00,18:00,054-673-8511,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
법전밧데리부분정비,3,경상북도 봉화군 법전면 법전로 39,경상북도 봉화군 법전면 법전리 207-6,36.9109335,128.870034,2001-01-29,112,3,2012-10-31,,,,,,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
대경카정비세차장,3,경상북도 봉화군 봉화읍 예봉로 2039,경상북도 봉화군 봉화읍 내성리 147-1,36.88251095,128.7386974,2001-07-12,144.51,1,,,,09:00,18:00,054-672-7330,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
봉화부분정비,3,경상북도 봉화군 봉화읍 보밑길 24-17,경상북도 봉화군 봉화읍 내성리 376-12,36.891708,128.735406,2002-01-24,95,1,,,,09:00,18:00,054-672-0900,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
신흥카전문정비공장,3,경상북도 봉화군 석포면 석포로1길 50-13,경상북도 봉화군 석포면 석포리 361,37.048136,129.0659921,2002-05-20,256.48,1,,,,09:00,18:00,054-672-6932,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
창원카써비스,3,경상북도 봉화군 법전면 소천로 285,경상북도 봉화군 법전면 어지리 928-5,36.918251,128.9416766,2005-05-30,112,3,2009-07-09,,,,,,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
서비스코너봉화점,3,경상북도 봉화군 봉화읍 내성로 50-3,경상북도 봉화군 봉화읍 내성리 200-4,36.886919,128.741072,2005-07-06,157.3,1,,,,09:00,18:00,054-672-7922,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
김중욱차병원,3,경상북도 봉화군 봉화읍 보밑길 14-10,경상북도 봉화군 봉화읍 내성리 426-17,36.891466,128.734501,2005-11-14,165.75,1,,,,09:00,18:00,054-672-1053,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
윤호카부분정비,3,경상북도 봉화군 물야면 문수로 1056,경상북도 봉화군 물야면 오록리 1229,36.97978583,128.7323228,2007-05-10,155.55,1,,,,09:00,18:00,054-673-3259,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
씽씽 자동차정비,3,경상북도 봉화군 춘양면 춘양로 1324,경상북도 봉화군 춘양면 서벽리 46-7,37.003308,128.843721,2010-09-16,84,1,,,,09:00,18:00,054-672-8780,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
우리부분정비,3,경상북도 봉화군 춘양면 의양로 93,경상북도 봉화군 춘양면 소로리 879-31,36.93327648,128.9133178,2012-05-03,93.5,1,,,,09:00,18:00,054-674-2111,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
다둥이카센터,3,경상북도 봉화군 법전면 다덕로 1104,경상북도 봉화군 법전면 풍정리 802-2,36.91475212,128.8473599,2016-03-04,64.8,1,,,,09:00,18:00,054-673-0824,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
쌍용자동차봉화서비스프라자,3,경상북도 봉화군 봉화읍 더구로 4,경상북도 봉화군 봉화읍 해저리 553-6,36.89449354,128.7170134,2017-11-03,207.65,1,,,,09:00,18:00,054-672-5582,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
석포카센터,3,경상북도 봉화군 석포면 석포로 164,경상북도 봉화군 석포면 석포리 428-5,37.04448445,129.0646519,2018-05-15,81.5,1,,,,09:00,18:00,054-672-8284,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
대성자동차정비,2,경상북도 봉화군 춘양면 소천로 23,경상북도 봉화군 춘양면 소로리 633-17,36.922031,128.920531,1988-01-08,321.91,3,2010-12-31,,,,,,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
중앙부분정비공장,3,경상북도 봉화군 봉화읍 내성로 166,경상북도 봉화군 봉화읍 삼계리 68-2,36.896882,128.7385815,1999-04-21,82.46,3,2010-04-27,,,,,,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
우성카도크,3,경상북도 봉화군 봉화읍 봉명로 6,경상북도 봉화군 봉화읍 유곡리 278-2,36.90664641,128.7725955,2003-08-23,217.08,3,2014-02-18,,,,,,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
남신공업사,1,전북특별자치도 남원시 남문로482,,35.405578,127.383999,1999-12-27,1376,2,,,,09:00,18:00,063-635-7761,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
현대1급자동차공업사,1,전북특별자치도 남원시 춘향로 162-8,,35.426917,127.3881702,1999-04-16,4556,1,,,,09:00,18:00,063-626-9933,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
중앙자동차공업사,1,전북특별자치도 남원시 히어실길 8-15,,35.429485,127.383695,1999-08-26,3510,1,,,,09:00,18:00,063-625-2205,전북특별자치도 남원시청,063-620-6567,2024-02-19,4701000,전북특별자치도 남원시
서울자동차정비공장,1,경상북도 봉화군 봉화읍 예봉로 1977,경상북도 봉화군 봉화읍 내성리 121-6,36.87753229,128.7411093,1997-07-12,318,1,,,,09:00,18:00,054-673-6666,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
국제자동차정비공장,1,경상북도 봉화군 봉화읍 더구로 24,경상북도 봉화군 봉화읍 해저리 551,36.89468751,128.7170582,1992-07-08,1545,1,,,,09:00,18:00,054-673-8877,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
봉화정비공장,1,경상북도 봉화군 봉화읍 봉화로 993,경상북도 봉화군 봉화읍 해저리 589-1,36.89395904,128.7185671,1987-01-15,740.86,1,,,,09:00,18:00,054-673-0079,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
봉화북부정비공장,2,경상북도 봉화군 법전면 한티로 150-23,경상북도 봉화군 법전면 소지리 116-1,36.92373478,128.9051748,2005-01-14,377.41,1,,,,09:00,18:00,054-672-6353,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
내성정비공장,2,경상북도 봉화군 봉성면 다덕로 436-4,경상북도 봉화군 봉성면 금봉리 602-39,36.910134,128.7806411,1997-05-27,203.08,1,,,,09:00,18:00,054-673-6444,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
봉화그린자동차정비공장,2,경상북도 봉화군 봉화읍 봉화로 1161-11,경상북도 봉화군 봉화읍 내성리 236-42,36.891433,128.736895,1994-07-11,417,1,,,,09:00,18:00,054-673-8188,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
봉화밧데리부분정비,3,경상북도 봉화군 춘양면 소천로 15,경상북도 봉화군 춘양면 소로리 633-15,36.92188185,128.9202786,2012-10-05,377.41,1,,,,09:00,18:00,054-672-8598,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
춘양부분정비공장,3,경상북도 봉화군 춘양면 소천로 39-2,경상북도 봉화군 춘양면 소로리 664-1,36.92267532,128.9225162,1997-07-08,118.73,1,,,,09:00,18:00,054-672-3731,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
현대튠업,3,경상북도 봉화군 물야면 문수로 997-1,경상북도 봉화군 물야면 오록리 429-7,36.97586151,128.7356193,1998-10-30,86,3,2021-06-22,,,,,,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
재산카써비스,3,경상북도 봉화군 재산면 재산로 538-1,경상북도 봉화군 재산면 현동리 678-12,36.818868,128.9638962,1998-10-30,74.4,1,,,,09:00,18:00,054-672-8646,경상북도 봉화군청,054-679-6292,2024-02-29,5240000,경상북도 봉화군
국제특장,3,세종특별자치시 전동면 전동로 60,세종특별자치시 전동면 노장리 401,36.65762796,127.2706358,2015-07-09,463,1,,,,,,000-000-0000,세종특별자치시,044-300-5556,2024-11-18,5690000,세종특별자치시
세종금호카,1,세종특별자치시 장군면 장척로 477,세종특별자치시 장군면 대교리 589-7,36.50144545,127.2119299799,2015-07-30,1529,1,,,,,,044-865-7320,세종특별자치시,044-300-5556,2024-11-18,5690000,세종특별자치시
지산자동차,02,경기도 파주시 상지석길 318-22,경기도 파주시 상지석동 178-89,37.7282512893,126.7881310640,2017-01-23,667,01,,,,09:00,18:00,031-949-5516,경기도 파주시청,031-940-5781,2024-12-06,4060000,경기도 파주시
