차종,연비,이미지
2024 싼타페,9.7~11km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230816_262%2Fauto_1692145764024PQRQx_PNG%2F20230816092922_MA69t5ZZ.png
2013 닛산 엑스테라,17mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_94%2Fauto_1496048693566kCfsc_PNG%2F40451_2013__.png
2020 닛산 킥스 e-파워,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200518_194%2Fauto_1589765651672Lj0oq_PNG%2F20200518103401_o6ARzzic.png
2018 쉐보레 임팔라,9.2~10.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20171011_66%2Fauto_1507705317889vuENv_PNG%2F20171011160140_FHvjnVDe.png
2025 쏘렌토,9.3~14.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240902_300%2Fauto_1725240960172FVRkB_PNG%2F20240902103550_wZm5QO5i.png
2025 카니발,9~13.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241015_252%2Fauto_1728964118687n65NG_PNG%2F20241015124831_NXDWOwWA.png
2012 오펠 아스트라 해치백,4.1~5.9ℓ/100km,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_241%2Fauto_1496048638778YPCW6_PNG%2F32782_2013___GTC.png
2012 모하비,10.2~10.7km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200109_217%2Fauto_1578552459300a6etC_PNG%2F20200109154737_F3hirSAs.png
2015 스바루 아웃백,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170526_221%2Fauto_1495798418903amC3e_PNG%2F53321_2015--.png
2018 세아트 아테카,4.3~5.4ℓ/100km,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180208_118%2Fauto_1518072500104hXB29_PNG%2F20180208154818_90L5e8aO.png
2016 마쯔다 MX-5,30.5mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_279%2Fauto_1495545661572KQGsm_PNG%2F54433_2016__MX-5_.png
2008 혼다 CR-V,10~10.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_213%2Fauto_14979394494234u8lq_PNG%2F10901_2008__CR-V.png
2019 토요타 캠리,12.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20171023_145%2Fauto_1508739458869L8fUi_PNG%2F20171023151730_5jEaGRcc.png
2024 제이스모빌리티 이티밴...,5.3km/kWh,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20241114_192%2Fauto_1731562110510cRFat_PNG%2F20241114142820_KUOHD2DY.png
2019 밴더할 베니스,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191017_191%2Fauto_1571276525408k3HuD_PNG%2F20191017104154_nKA7QnEa.png
2015 그랜저 하이브리드,16km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200819_213%2Fauto_1597810231601iOCqu_PNG%2F20200819131028_RHTDiwUF.png
2023 싼타페 하이브리드,13.1~15.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220920_60%2Fauto_1663637012766bEMOa_PNG%2F20220920102321_5cTC8wQk.png
2013 토요타 크라운,11.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_21%2Fauto_14960487230904EQN9_PNG%2F30313_2013___.png
2020 미쓰비시 ASX,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191108_204%2Fauto_15731929051821SWGv_PNG%2F20191108150126_FGg44BAj.png
2019 피아트 124 스파이더,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20181212_32%2Fauto_15446024723259e4Aj_PNG%2F20181212164632_RuErmYBb.png
2023 스바루 XV 크로스트랙,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230210_143%2Fauto_1675991900617FBtQj_PNG%2F20230210101809_GIsrSwdl.png
2016 피아트 124 스파이더,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_44%2Fauto_1495544630038tXofY_PNG%2F61103_2016__124_.png
2013 스마트 포투 일렉트릭 ...,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_63%2Fauto_14960486520605gw0t_PNG%2F66415_2013____.png
2018 아바쓰 500,6ℓ/100km,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20181016_290%2Fauto_1539652696250CAJSU_PNG%2F20181016101759_JduarDp5.png
2020 혼다 시빅 Si,30mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190904_38%2Fauto_1567573305591VnRpO_PNG%2F20190904140026_rBZXmFCZ.png
2020 혼다 시빅 Si 쿠페,30mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190904_275%2Fauto_1567580168434tWehW_PNG%2F20190904155552_OMWD1B61.png
2020 뷰익 앙코르 GX,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191112_222%2Fauto_1573522962833w7G0v_PNG%2F20191112104203_chp3QkTQ.png
2012 홀덴 코모도어 Ute,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_29%2Fauto_1496048048692LGgjv_PNG%2F19160_2012___Ute.png
2010 오피러스,9.6~10.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200806_28%2Fauto_1596693446626l9da5_PNG%2F20200806145725_4qxtvsdN.png
2013 모하비,10.2~10.7km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200109_255%2Fauto_1578552468399rmjHd_PNG%2F20200109154746_beL0yuw1.png
2019 그랜저 하이브리드,16.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200819_145%2Fauto_1597809569750hNQKL_PNG%2F20200819125927_unL3dHWa.png
2006 볼보 S40,9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_243%2Fauto_1497939336934gsjOA_PNG%2F12632_2006__S40.png
2014 지프 컴패스,9.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_138%2Fauto_1496048937933qnmpb_PNG%2F43121_2014__.png
2015 지프 컴패스,9.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170526_95%2Fauto_14957981325172y3Ae_PNG%2F66687_2015__.png
2016 지프 컴패스,9.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_234%2Fauto_14955442353505dIPn_PNG%2F63657_2016___75__.png
2018 미니 해치백 D 5도어,15.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180117_239%2Fauto_1516177854656rpDWo_PNG%2F20180117173039_cZC9ZWcE.png
2020 미니 클럽맨,11.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191021_117%2Fauto_1571628440364xh6zM_PNG%2F20191021122701_GNLwFSze.png
2017 쉐보레 임팔라,9.2~10.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190825_65%2Fauto_1566713186598pq8Ot_PNG%2F20190825150624_6o49APf9.png
2006 크라이슬러 세브링,8.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_84%2Fauto_1497939438795MeF9w_PNG%2F12374_2006___.png
2010 볼보 C30,9.5~10km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170530_273%2Fauto_1496110848878wJ9l3_PNG%2F10293_2010__C30.png
1999 에쿠스,7.7~8.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200804_226%2Fauto_159652804029227yj1_PNG%2F20200804170038_4LdCmEJd.png
2009 혼다 어코드,9.8~10.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170530_216%2Fauto_1496110354074R1P2Y_PNG%2F10465_2009__.png
2015 볼보 V40,11.6~17.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170526_107%2Fauto_1495798302842EG3xV_PNG%2F54011_2015__V40.png
2016 BMW 1시리즈,15.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_74%2Fauto_1495544500904Rd8yX_PNG%2F60433_2016_BMW_1_5.png
2018 메르세데스-벤츠 A클래...,12km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20171214_78%2Fauto_1513238966974hkzqb_PNG%2F20171214170911_7Y21cyKg.png
2018 혼다 어코드,10.8~13.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180510_6%2Fauto_1525931917811OjYoC_PNG%2F20180510145829_K8dhGXrY.png
2019 토요타 라브4,11.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190502_57%2Fauto_1556760737844IlLmy_PNG%2F20190502103157_0dRN9WSP.png
2018 포드 포커스 ST,25mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180420_237%2Fauto_1524211918219eONr9_PNG%2F20180420171142_KPwMyETE.png
2017 포드 퓨전 하이브리드,42mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_164%2Fauto_1495542778076zDpwr_PNG%2F63765_2017___.png
2013 포드 씨맥스 하이브리드,43mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_271%2Fauto_1496048365505VO1gP_PNG%2F29529_2013__C-MAX_.png
2020 K7 하이브리드,16.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200819_192%2Fauto_1597808345745zjCK8_PNG%2F20200819123903_NcX5Tlqt.png
2021 폭스바겐 티록,15.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210129_169%2Fauto_1611888721887Atx5b_PNG%2F20210129115151_yMi8rrAa.png
2007 포드 머스탱,8.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_130%2Fauto_14979394365682SDky_PNG%2F11686_2007___.png
2008 포드 머스탱,5.7~7km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_8%2Fauto_1497939330464QHifc_PNG%2F10992_2008___.png
2021 토요타 라브4,11.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200923_84%2Fauto_1600826212652XolHT_PNG%2F20200923105637_I5uGA88L.png
2015 홀덴 인시그니아,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20171122_149%2Fauto_1511328646488X2mBE_PNG%2F20171122143032_1h29A9Ik.png
2014 그랜저 하이브리드,16km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200819_76%2Fauto_1597809319971nBNSR_PNG%2F20200819125517_GWHzCj28.png
2013 닛산 알티마 쿠페,26mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_77%2Fauto_14960492205689suKS_PNG%2F40427_2013___.png
2020 팰리세이드,8.9~12.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200506_158%2Fauto_15887272203358wx8R_PNG%2F20200506100649_MO290waI.png
2013 사이언 FR-S,28mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_153%2Fauto_1496049247537qmIqM_PNG%2F29712_2013__FR-S.png
2008 미니 클럽맨,13km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_125%2Fauto_1497939445805iQjUO_PNG%2F11385_2008___.png
2013 토요타 크라운 애슬리트,9.6~11.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_71%2Fauto_1496048567929nOSIk_PNG%2F30311_2013___.png
2015 아우디 A3 세단,16.3~16.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170526_36%2Fauto_1495798369991IwQws_PNG%2F54067_2015__A3_.png
2015 아우디 A3,15.8~16.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170526_192%2Fauto_1495799805229cscb0_PNG%2F56671_2015__A3_.png
2016 토요타 캠리 하이브리드,16.4~17.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_195%2Fauto_1495544505653PeceO_PNG%2F60639_2016___.png
2017 토요타 캠리 하이브리드,16.4~17.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_42%2Fauto_14955424217368AfaW_PNG%2F66383_2017---.png
2018 마쯔다 MX-5,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180404_266%2Fauto_1522827243157GeqLM_PNG%2F20180404163349_JkRIfF0m.png
2019 포드 퓨전 하이브리드,42mpg,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170911_299%2Fauto_1505111673504QxK9k_PNG%2F20170911153414_LnJTqRht.png
2018 폭스바겐 파사트,12.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20181109_88%2Fauto_15417300586083iB3c_PNG%2F20181109112043_gIv2UOfM.png
2015 토요타 벨파이어,9.5~11.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_27%2Fauto_1495544222204fpTIF_PNG%2F63329_2016__.png
2021 토요타 해리어 하이브리...,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200414_53%2Fauto_1586825282701f2raY_PNG%2F20200414094752_fh4kaM8S.png
2020 토요타 캠리,12.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200214_138%2Fauto_1581641387058dnBjR_PNG%2F20200214094936_C1E8BJ9z.png
2022 폭스바겐 골프,17.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220105_93%2Fauto_1641343978307AkLxg_PNG%2F20220105095246_YMF4IpRh.png
2018 뷰익 앙코르,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180416_143%2Fauto_1523854328028CpR3X_PNG%2F20180416135154_efxtG9FT.png
2012 폭스바겐 비틀,15.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_267%2Fauto_1496048106080WJVS4_PNG%2F16124_2012__.png
2012 혼다 시빅 하이브리드,24.7km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_279%2Fauto_1496048115736CJSYk_PNG%2F16431_2012___.png
2012 미쓰비시 아웃랜더,9.5~11.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_218%2Fauto_1496048136010R80gQ_PNG%2F17766_2012__.png
2016 미니 클럽맨,11.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_278%2Fauto_1495545654871Ybd5N_PNG%2F58967_2016__.png
2017 지프 컴패스,8.7km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180521_287%2Fauto_1526886683709el4HI_PNG%2F20180521161113_OOppqn1x.png
2019 미니 해치백 D 5도어,16.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190530_298%2Fauto_1559196084253l4Czg_PNG%2F20190530145751_gwlNjej0.png
2023 쏘렌토 하이브리드,13.2~15.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220713_137%2Fauto_1657695734813lK7Un_PNG%2F20220713160201_nh29gjF1.png
2014 프로씨드,7.4ℓ/100km,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_270%2Fauto_1496049003614hVsQv_PNG%2F29021_2014__GT.png
2018 쉐보레 볼트 플러그인 ...,17.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210215_149%2Fauto_1613367464350LFAi8_PNG%2F20210215143728_qlE9qpSP.png
2021 K7 하이브리드,16.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20201012_240%2Fauto_1602467609317sf99P_PNG%2F20201012105319_IKCTvOew.png
2007 볼보 S40,10.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_120%2Fauto_1497939395251H68qz_PNG%2F11935_2007__S40.png
2018 미니 클럽맨,11.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180724_163%2Fauto_1532414321760y2X6t_PNG%2F20180724153822_iFrFPdFC.png
2023 다치아 스프링,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220620_157%2Fauto_1655707758582sUpEV_PNG%2F20220620154904_mGuxpxtq.png
2013 폭스바겐 골프 올트랙,6.7ℓ/100km,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170526_176%2Fauto_1495798422226ujnQp_PNG%2F54743_2015___.png
2018 복스홀 인시그니아 스포...,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20171122_110%2Fauto_15113404082007pIKo_PNG%2F20171122174634_o8V7Y1My.png
2012 알페온 eAssist,14.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_146%2Fauto_1496048150461TULAN_PNG%2F16427_2012__eAssist.png
2017 시트로엥 C4 피카소,14.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_247%2Fauto_1495545818017vTvgf_PNG%2F68269_2017--C4-.png
2010 스바루 레거시,9.1~11.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170530_189%2Fauto_1496110801780rVYYA_PNG%2F13901_2010__.png
2013 스바루 레거시,9.1~11.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_190%2Fauto_1496048394048dF0eo_PNG%2F18994_2013__.png
2016 폭스바겐 파사트,11.6km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20201214_161%2Fauto_16079151514701MiXp_PNG%2F20201214120550_Tg9uu4Ch.png
2009 포드 머스탱,8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180626_10%2Fauto_1530002160429w5pyu_PNG%2F20180626173531_btoe2jY2.png
2023 푸조 308,17.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230106_31%2Fauto_1672980368480vU4AG_PNG%2F20230106134558_vMRMl8yi.png
2018 스바루 BRZ,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180207_283%2Fauto_1517989984634tGcao_PNG%2F20180207165253_MXC1MMHA.png
2017 쉐보레 볼트 플러그인 ...,17.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210215_197%2Fauto_1613367434312104Sa_PNG%2F20210215143658_czF8JZoe.png
2024 미니 해치백,13.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_59%2Fauto_16866414333940SsDI_PNG%2F20230613163026_s5nj4t6R.png
2020 그랜저 하이브리드,15.2~16.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200819_88%2Fauto_1597809065802uPUDk_PNG%2F20200819125103_43FIAQ4U.png
2022 토요타 캠리,12.3km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210518_220%2Fauto_1621307152062JpST7_PNG%2F20210518120540_Z5IAvVao.png
2016 볼보 V40,11.6~17.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_266%2Fauto_1495544612436FIjog_PNG%2F59447_2016__V40.png
2017 볼보 V40,11.1~16.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_260%2Fauto_1495542498985JdkKe_PNG%2F64971_2017__V40.png
2012 미니 컨트리맨 D,13.6~15.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170821_102%2Fauto_1503310626889Hrlu8_PNG%2F20170821191650_dkGCfhU4.png
2013 폭스바겐 투란,5.1~6.4ℓ/100km,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_212%2Fauto_14960483747633EHKb_PNG%2F29957_2013__.png
